DATE,DVD_SH_12M,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,IQ_DIV_SHARE,IQ_TOTAL_REV,IQ_OPER_INC,IQ_EARNING_CO,IQ_NI,IQ_EBITDA,IQ_EBIT,IQ_BASIC_EPS_EXCL,IQ_DILUT_EPS_EXCL,IQ_DILUT_EPS_NORM,IQ_CASH_EQUIV,IQ_TOTAL_CA,IQ_TOTAL_ASSETS,IQ_TOTAL_CL,IQ_TOTAL_LIAB,IQ_BV_SHARE,IQ_TBV,IQ_TOTAL_DEBT,IQ_CASH_OPER,IQ_CAPEX,IQ_CF_SHARE,IQ_RETURN_ASSETS,IQ_RETURN_CAPITAL,IQ_RETURN_EQUITY,IQ_GROSS_MARGIN,IQ_CURRENT_RATIO,IQ_TOTAL_DEBT_CAPITAL
12/31/2002,4.0548,2.28,-5.1,3.92838,158.18455,19.83621,3.30759,2.42285,26.98443,17.95739,3.23179,3.06397,10.33514,75.25198,682.77035,1986.96383,907.23217,1557.2727,311.77809,168.89808,675.4044,19.28465,-7.83744,8.89478,2.2553,9.7723,3.9944,28.0825,0.75259,67.4453
3/31/2003,4.0292,1.65,-3.83,3.76593,162.22995,20.55883,12.11963,13.01226,28.3434,18.8487,11.99749,11.84678,11.44427,81.15514,716.03053,2070.38549,924.88064,1547.24686,320.98236,174.38614,635.99321,16.47798,-7.19235,7.9596,2.3384,9.8133,14.6695,28.8224,0.77419,65.5293
6/30/2003,4.0818,2.88,-4.39,3.85703,164.69324,21.84142,11.14176,10.73638,28.83403,19.27658,11.05361,10.88622,12.0838,88.2357,729.17871,2074.56521,939.4116,1625.11159,336.76929,184.18501,652.89241,22.08685,-8.39485,12.70202,2.3433,10.2743,13.0836,29.4123,0.77621,65.0908
9/30/2003,4.5807,2.06,-4.42,4.25143,167.8211,22.27835,12.4057,12.767,29.95799,20.36972,12.40238,12.17724,12.58223,85.52481,748.83234,2129.3958,957.74098,1637.51891,341.3559,187.85468,651.74551,31.80975,-7.90261,22.67147,2.4272,10.916,14.1096,29.1675,0.78187,64.7888
12/31/2003,4.4311,2.57,-5.32,4.36288,180.68004,23.53791,13.5843,12.9837,31.00866,20.87518,13.51795,13.24233,13.13065,90.56554,761.52,2131.17589,956.57082,1697.2651,356.73443,196.96024,673.02467,31.55569,-9.14426,21.49259,2.4337,11.2163,15.0215,28.3773,0.79609,64.5383
3/31/2004,4.5736,3.52,-5.48,4.31405,180.07588,25.09094,15.42397,15.1115,32.5071,22.50713,15.49926,15.1977,14.33963,89.82486,769.27801,2203.04463,960.98883,1724.26337,367.87395,204.98023,691.68404,14.32162,-7.98879,5.41432,2.6098,12.3429,16.4856,29.0492,0.80051,64.5063
6/30/2004,4.612,2.4,-6.26,4.24657,184.37789,26.00566,15.69732,15.58511,33.23773,23.47632,15.58065,15.28817,14.8697,91.32996,829.50556,2288.29394,1014.10603,1739.99985,377.36306,205.27208,691.01512,24.04317,-8.86863,13.86375,2.6361,11.4043,16.3311,29.2988,0.81797,63.8507
9/30/2004,5.0803,2.93,-6.62,4.56948,188.19982,25.55683,14.78569,14.57014,33.80846,23.93986,14.72476,14.45097,14.78314,99.71324,868.88814,2261.1996,1010.04415,1708.05129,393.5475,214.58458,620.63231,19.81861,-8.44755,10.17606,2.7031,11.1028,14.8672,28.0179,0.86025,60.374
12/31/2004,8.5362,2.97,-8.34,5.05023,202.04812,29.38324,16.24954,16.1391,35.65633,25.1715,16.20394,15.89773,15.59107,95.35707,861.07703,2215.70952,1045.48892,1693.73266,408.27043,221.70691,629.96799,32.30377,-10.60743,20.29229,2.8203,11.7897,15.6621,28.237,0.82361,59.8237
3/31/2005,5.3424,2.98,-8.6,5.07132,195.34432,27.90479,17.46433,17.24056,34.83534,24.86261,17.42817,17.07155,16.31848,102.4452,896.60035,2398.15236,1070.06437,1906.54916,415.61303,229.23321,741.26713,19.94923,-9.01236,10.31779,2.658,12.6803,16.3342,28.8899,0.83789,63.2561
6/30/2005,5.3517,3.35,-9.32,5.28263,202.5008,28.80256,18.82021,18.62343,36.64387,26.48099,18.7499,18.40879,16.97415,104.14956,912.73615,2438.11985,1093.15802,1930.99919,424.92497,234.86223,745.91181,24.38806,-10.51845,12.90893,2.7307,13.1698,17.2717,28.4819,0.83495,62.9219
9/30/2005,5.466,2.94,-11.18,5.44347,210.21832,27.85782,17.85225,17.65649,37.08553,26.69197,17.93299,17.57063,16.58682,101.44237,953.38034,2437.85524,1108.16143,1906.54458,433.58598,234.00973,698.6905,19.49155,-10.31577,7.72914,2.7619,12.6614,16.0883,27.3488,0.86033,60.965
