date,px,CF,g,erpb,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21
727062,327.83,3.94722019627132,0.01742806725,0.00732085738605492,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575,0.0223575
727069,311.51,3.94722019627132,0.01742806725,0.00743264973628571,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875,0.0228875
727076,322.56,3.94722019627132,0.01742806725,0.0074185031853388,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246,0.02246
727083,323.4,3.94722019627132,0.01742806725,0.00756366439070152,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825,0.0222825
727090,316.83,3.94722019627132,0.01742806725,0.00754867440621269,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555,0.022555
727097,311.32,3.94722019627132,0.01742806725,0.00752051783236818,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075,0.0228075
727104,306.05,3.94722019627132,0.01742806725,0.00817764735228023,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725,0.0223725
727111,311.5,3.77692504540856,0.01709144225,0.00745113532128438,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725,0.0219725
727118,300.03,3.77692504540856,0.01709144225,0.00750008902433946,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395,0.022395
727125,312.48,3.77692504540856,0.01709144225,0.0075024590885339,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825,0.0218825
727132,304.71,3.77692504540856,0.01709144225,0.00776093953169431,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375,0.0219375
727139,311.85,3.77692504540856,0.01709144225,0.00768729447608647,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225,0.0217225
727146,313.74,3.77692504540856,0.01709144225,0.0077805875349655,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555,0.021555
727153,317.12,3.77692504540856,0.01709144225,0.00808008422056344,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125,0.021125
